exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,prerequisite,,BSARCH Curriculum 2023,AR 102,Architectural Design 2,,,2,,,false,,AR 111,,
1,prerequisite,,BSARCH Curriculum 2023,AR 112,Theory of Architecture 2,,,3,,,false,,AR 111,,
1,prerequisite,,BSARCH Curriculum 2023,AR 113,Architectural Interiors,,,3,,,false,,AR 111,,
1,prerequisite,,BSARCH Curriculum 2023,AR 135,Architectural Visual Communication 3,,,3,,,false,,AR 131,,
1,prerequisite,,BSARCH Curriculum 2023,AR 134,Architectural Visual Communication 4,,,2,,,false,,AR 132,,
1,prerequisite,,BSARCH Curriculum 2023,PE 002,Physical Activities Toward Health & Fitness 2 (PATHFit 2),,,2,,,false,,PE 001,,
1,prerequisite,,BSARCH Curriculum 2023,NSTP 002,National Service Training Program 2,,,3,,,false,,NSTP 001,,
1,prerequisite,,BSARCH Curriculum 2023,GEE 007,GE Elective 3 - Indigenous Creative Crafts,,,3,,,false,,GEE 002B,,
1,prerequisite,,BSARCH Curriculum 2023,AR 201,Architectural Design 3,,,3,,,false,,AR 102,,
1,prerequisite,,BSARCH Curriculum 2023,AR 201,Architectural Design 3,,,3,,,false,,AR 112,,
1,prerequisite,,BSARCH Curriculum 2023,AR 201,Architectural Design 3,,,3,,,false,,AR 113,,
1,prerequisite,,BSARCH Curriculum 2023,AR 221,Building Technology 1,,,3,,,false,,AR 102,,
1,prerequisite,,BSARCH Curriculum 2023,AR 225,Building Utilities 1,,,3,,,false,,AR 102,,
1,prerequisite,,BSARCH Curriculum 2023,AR 211,History of Architecture 2,,,3,,,false,,AR 114,,
1,prerequisite,,BSARCH Curriculum 2023,AR 235,Architectural Visual Communication 5,,,2,,,false,,AR 134,,
1,prerequisite,,BSARCH Curriculum 2023,PE 003,Physical Activities Toward Health & Fitness 3 (PATHFit 3),,,2,,,false,,PE 002,,
1,prerequisite,,BSARCH Curriculum 2023,AR 202,Architectural Design 4,,,3,,,false,,AR 201,,
1,prerequisite,,BSARCH Curriculum 2023,AR 202,Architectural Design 4,,,3,,,false,,AR 221,,
1,prerequisite,,BSARCH Curriculum 2023,AR 222,Building Technology 2,,,3,,,false,,AR 221,,
1,prerequisite,,BSARCH Curriculum 2023,AR 222,Building Technology 2,,,3,,,false,,AR 225,,
1,prerequisite,,BSARCH Curriculum 2023,AR 203,Tropical Design,,,2,,,false,,AR 201,,
1,prerequisite,,BSARCH Curriculum 2023,AR 212,History of Architecture 3,,,3,,,false,,AR 211,,
1,prerequisite,,BSARCH Curriculum 2023,AR 226,Building Utilities 2,,,3,,,false,,AR 225,,
1,prerequisite,,BSARCH Curriculum 2023,SURV 002F1,Surveying,,,3,,,false,,MATH 016,,
1,prerequisite,,BSARCH Curriculum 2023,PE 004,Physical Activities Toward Health & Fitness 4 (PATHFit 4),,,2,,,false,,PE 003,,
1,prerequisite,,BSARCH Curriculum 2023,AR 301,Architectural Design 5,,,4,,,false,,AR 202,,
1,prerequisite,,BSARCH Curriculum 2023,AR 301,Architectural Design 5,,,4,,,false,,AR 222,,
1,prerequisite,,BSARCH Curriculum 2023,AR 301,Architectural Design 5,,,4,,,false,,AR 225,,
1,prerequisite,,BSARCH Curriculum 2023,AR 321,Building Technology 3,,,3,,,false,,AR 222,,
1,prerequisite,,BSARCH Curriculum 2023,AR 321,Building Technology 3,,,3,,,false,,AR 226,,
1,prerequisite,,BSARCH Curriculum 2023,AR 311,History of Architecture 4,,,3,,,false,,AR 212,,
1,prerequisite,,BSARCH Curriculum 2023,AR 341,Professional Practice 1,,,3,,,false,,AR 202,,
1,prerequisite,,BSARCH Curriculum 2023,CADD 331,Computer-Aided Design and Drafting for Architecture 1,,,2,,,false,,AR 222,,
1,prerequisite,,BSARCH Curriculum 2023,CADD 331,Computer-Aided Design and Drafting for Architecture 1,,,2,,,false,,AR 235,,
1,prerequisite,,BSARCH Curriculum 2023,ARSC 313,Strength of Materials,,,3,,,false,,ARSC 223,,
1,prerequisite,,BSARCH Curriculum 2023,AR 302,Architectural Design 6,,,4,,,false,,AR 301,,
1,prerequisite,,BSARCH Curriculum 2023,AR 302,Architectural Design 6,,,4,,,false,,AR 321,,
1,prerequisite,,BSARCH Curriculum 2023,AR 302,Architectural Design 6,,,4,,,false,,AR 341,,
